ALDH1A1	ALDH1A1
PRKCA	KIT
KITLG	KIT
SRC	KIT
MATK	KIT
KIT	STAT1
PTPRO	KIT
TEC	KIT
GRB7	KIT
GRB10	KIT
FCGR3A	CD38
CRKL	KIT
DOK1	KIT
PIK3R2	KIT
SOCS1	KIT
GRAP	KIT
GRAP2	KIT
SH2B3	KIT
CD81	KIT
MPDZ	KIT
SPRED1	KIT
LCK	CD38
STAP1	KIT
SH2B2	KIT
SPRED2	KIT
FGR	FGR
CBL	FGR
FGR	SRC
WAS	FGR
CD24	FGR
SYK	FGR
PTK2	FGR
PECAM1	CD38
DAB2	FGR
CCR3	FGR
FGR	HCLS1
SLAMF1	FGR
INPP5D	FGR
EBNA1BP2	FGF3
DLL4	NOTCH4
MAML1	NOTCH4
FBXW7	NOTCH4
INS	NOV
CD4	CD38
NOTCH1	NOV
DLL1	NOV
S100A4	NOV
NFATC1	PIM1
PTPRO	PIM1
SND1	PIM1
CBX3	PIM1
CBX1	PIM1
NHEJ1	NHEJ1
FZD5	WNT5A
C9	CD59
ROR2	WNT5A
FZD1	WNT5A
PTPN6	ROS1
ABL1	ROS1
VAV3	ROS1
GDI2	RAB8A
OPTN	RAB8A
MAP4K2	RAB8A
RPH3AL	RAB8A
C8A	CD59
SYTL4	RAB8A
RIMS2	RAB8A
RPH3A	RAB8A
FLT1	FLT1
KDR	FLT1
VEGFA	FLT1
PLCG2	FLT1
SHC1	FLT1
PGF	FLT1
VEGFB	FLT1
GNAI3	CD59
ATR	FLT1
ERG	ERG
SPI1	ERG
FLI1	ERG
ETV1	ERG
SETDB1	ERG
SMAD7	TTF1
SOS1	RRAS
ARAF	RRAS
NCK1	RRAS
CD9	CD59
EPHB2	RRAS
RALGDS	RRAS
RASSF5	RRAS
NAV2	RRAS
RASIP1	RRAS
COL4A5	OSM
COL4A6	OSM
IL6ST	OSM
OSMR	OSM
CD2	CD59
LYN	LYN
CBL	LYN
LYN	PLCG1
PECAM1	LYN
CD36	LYN
PTPN6	LYN
TYK2	LYN
LYN	PRKCD
LYN	BTK
GRIA3	LYN
DSTN	ACTG1
SRC	CD59
MATK	LYN
CD24	LYN
LYN	SYK
PDE4A	LYN
LYN	PLCG2
PRKCQ	LYN
SHC1	LYN
CASP3	LYN
HNRNPK	LYN
PTK2	LYN
SLC6A8	CD59
PRKDC	LYN
PTK2B	LYN
PIK3CG	LYN
LYN	HCLS1
LCP2	LYN
MAPK3	LYN
LYN	MAP4K1
KHDRBS1	LYN
LYN	RGS16
UBXN11	ZFYVE9
NCR1	CD59
LYN	PPP1R8
NPHS1	LYN
DLG4	LYN
BCAR1	LYN
UNC119	LYN
TRAT1	LYN
SKAP1	LYN
SKAP2	LYN
LYN	TRPV4
PAG1	LYN
NCR3	CD59
GAB2	LYN
PRAM1	LYN
GAB3	LYN
PPP1R15A	LYN
LYN	FCGR2B
INPP5D	LYN
CBLC	LYN
BANK1	LYN
GP6	LYN
EVL	LYN
GRB2	CD72
NEDD9	LYN
CHST15	LYN
SH2B2	LYN
DOK3	LYN
JUN	JUN
SPI1	JUN
POU1F1	JUN
MAF	JUN
RB1	JUN
NR5A1	JUN
CD5	CD72
NFYA	JUN
SP1	JUN
GTF2F2	JUN
ABL1	JUN
TPM1	JUN
HCFC1	JUN
TAF1	JUN
AR	JUN
TBP	JUN
CREBBP	JUN
PTPN6	CD72
RUNX2	JUN
STAT1	JUN
STAT4	JUN
HMGA1	JUN
PRKDC	JUN
SMAD4	JUN
PIN1	JUN
MAPK8	JUN
NACA	JUN
SMAD2	JUN
SEMA4D	CD72
TDG	JUN
FOSL2	JUN
SMARCD1	JUN
VDR	JUN
MAPK3	JUN
SUMO1	JUN
NCOA3	JUN
NRIP1	JUN
TGIF1	JUN
NCOA1	JUN
BLNK	CD72
EP300	JUN
MAPK9	JUN
TSC22D3	JUN
TCF20	JUN
SMAD3	JUN
DHX9	JUN
ATF3	JUN
HIF1A	JUN
TRIP4	JUN
MYBBP1A	JUN
SERPINA3	SERPINA3
PRKD1	JUN
DDX21	JUN
SPIB	JUN
PACS1	JUN
ATF4	JUN
HHEX	JUN
COPS5	JUN
MAFB	JUN
RFWD2	JUN
EN1	JUN
TBCB	USP7
CTSG	SERPINA3
GTF2B	JUN
HDAC3	JUN
UBE2I	JUN
RBM39	JUN
RAGE	JUN
MAPKAPK5	JUN
BATF	JUN
CREB5	JUN
COBRA1	JUN
TPM2	JUN
CTRL	SERPINA3
PIAS1	JUN
RPL18A	JUN
JDP2	JUN
SNRK	JUN
RNPEP	ZFYVE9
FHL2	ZFYVE9
EIF4G1	ZFYVE9
ZMYND8	ZFYVE9
CHD6	ZFYVE9
RBBP6	ZFYVE9
CTRB1	SERPINA3
RHOT2	ZFYVE9
SMAD5	SF3B1
MAPK14	JUNB
SMAD4	JUNB
MAPK8	JUNB
FOSL2	JUNB
SMAD3	JUNB
BATF	JUNB
JDP2	JUNB
TBP	JUND
CMA1	SERPINA3
NFE2L2	JUND
SMAD4	JUND
MAPK8	JUND
FOSL2	JUND
MAPK9	JUND
ATF3	JUND
COPS5	JUND
RFWD2	JUND
BATF	JUND
JDP2	JUND
MMP1	SERPINA3
SMAD5	SMAD4
CEBPB	SPI1
NONO	SPI1
GATA1	SPI1
IRF8	SPI1
IRF4	SPI1
SPIB	SPI1
SMAD5	SMAD1
FGFR2	FGF5
CELA1	SERPINA3
SMAD5	MTMR10
OPRK1	OPRD1
PRKCA	OPRD1
PRKCE	OPRD1
PRKCD	OPRD1
OPRM1	OPRD1
KLHL3	OPRD1
ELANE	SERPINA3
SLC9A3R1	OPRK1
CREBBP	MECOM
HDAC1	MECOM
CTBP1	MECOM
CTBP2	MECOM
SMAD3	MECOM
HDAC4	MECOM
KAT2B	MECOM
SMAD5	PNKP
ZIC1	GLI1
MST1	SERPINA3
ZIC2	GLI1
SUFU	GLI1
STK36	GLI1
SMAD5	SFPQ
ZIC1	GLI2
ZIC2	GLI2
SUFU	GLI2
STK36	GLI2
ZIC3	GLI3
CREBBP	GLI3
KLK2	SERPINA3
ZIC1	GLI3
SMAD4	GLI3
SMAD2	GLI3
SMAD1	GLI3
TWIST1	GLI3
ZIC2	GLI3
SMAD3	GLI3
SUFU	GLI3
STK36	GLI3
SMAD4	SKIL
ERBB2	SERPINA3
SMAD2	SKIL
SMAD3	SKIL
CDC16	SKIL
FZR1	SKIL
CPNE1	SKIL
CPNE2	SKIL
CPNE4	SKIL
SMURF2	SKIL
CBL	CBL
NHEJ1	LIG4
ADRA1D	FLNC
KLK3	SERPINA3
PLCG1	CBL
PTPN6	CBL
TYK2	CBL
ZAP70	CBL
ITK	CBL
ABL1	CBL
SRC	CBL
NOTCH1	CBL
BLK	CBL
BTK	CBL
F5	SERPINA3
SH3KBP1	CBL
SYK	CBL
SCN5A	CBL
VAV2	CBL
NCK1	CBL
SHC1	CBL
INPPL1	CBL
SLA	CBL
PTK2B	CBL
UBE2G1	CBL
POLA1	SERPINA3
LCP2	CBL
CRKL	CBL
SPRY2	CBL
KHDRBS1	CBL
EPHB6	CBL
UBE2D2	CBL
UBE2G2	CBL
PIK3R2	CBL
CD151	ITGA3
UBE2L3	CBL
CTRC	SERPINA3
CD2AP	CBL
CD151	ITGB1
SORBS1	CBL
SLA2	CBL
PTPN22	CBL
SHC1	CD81
FRS2	CBL
EIF5B	CBL
SMAD5	SNRPA
DNAJC1	SERPINA3
CDKL2	CBL
UBASH3B	CBL
PGGT1B	RHOB
PDE6D	RHOB
ARHGDIG	RHOB
RHPN2	RHOB
ARHGEF3	RHOB
ROCK1	RHOC
RTKN	RHOC
CIT	RHOC
ATN1	PSMA3
RHOA	RHOA
PLCG1	RHOA
KCNA2	RHOA
PRKCA	RHOA
TGM2	RHOA
FLNA	RHOA
OPHN1	RHOA
MCF2	RHOA
KTN1	RHOA
VAV2	RHOA
ATN1	GIGYF1
PKN1	RHOA
DGKQ	RHOA
PRKACA	RHOA
ROCK1	RHOA
TRIO	RHOA
ARHGDIA	RHOA
PPP1R12A	RHOA
RTKN	RHOA
CNTNAP1	RHOA
PLD1	RHOA
CTSB	SLPI
PKN2	RHOA
PDE6D	RHOA
ARHGAP1	RHOA
ARHGDIB	RHOA
ARHGDIG	RHOA
AKAP13	RHOA
RABAC1	RHOA
ARHGEF4	RHOA
VAV3	RHOA
ARHGEF12	RHOA
CTSS	SLPI
CIT	RHOA
ARHGEF11	RHOA
ICMT	RHOA
SRGAP1	RHOA
DAAM1	RHOA
RHPN2	RHOA
SH3BP1	RHOA
ARHGEF2	RHOA
DEF6	RHOA
GMIP	RHOA
CTSL1	SLPI
RAP1GDS1	RHOA
TRPC1	RHOA
CNKSR1	RHOA
ARHGEF18	RHOA
ARHGEF3	RHOA
-	RHOA
MCF2L	RHOA
-	RHOA
DOCK7	RHOA
SMAD5	PSMD11
ADRA1B	FLNC
ELANE	SLPI
RHPN1	RHOA
SPRED2	RHOA
SMAD5	U2AF2
SMAD5	SOX5
OAZ1	ODC1
OAZ2	ODC1
ACP5	SPP1
PRKCA	SPP1
MMP7	SPP1
ITGAV	SPP1
GRN	SLPI
ITGA9	SPP1
PRKG1	SPP1
SMAD5	HBG2
TTN	NBR1
CIB1	NBR1
FEZ1	NBR1
VAPA	OSBP
SMAD5	RBM4
AVP	OXTR
OXT	OXTR
KLK3	SLPI
PCSK6	PCSK6
PCSK6	PMCH
PCSK6	FLG
RB1	PAX2
MAPK8	PAX2
WT1	PAX2
PAXIP1	PAX2
SFRP2	PAX2
HIRA	PAX7
MEOX1	PAX1
PRSS2	SLPI
MEOX2	PAX1
PAX5	PAX5
MYB	PAX5
ID3	PAX5
KPNA2	PAX5
KPNA1	PAX5
DAXX	PAX5
TLE4	PAX5
SMAD5	RYR2
NKX2-1	PAX8
ATN1	SIAH1
SMAD3	PAX8
WBP2	PAX8
PAX9	KDM5B
SRF	PRRX1
GTF2I	PRRX1
MAFG	PRRX1
MAFF	PRRX1
REG3A	REG1A
CTRC	SPINK1
PLSCR1	SLPI
PRSS7	SPINK1
NRSN1	SPINK1
SMAD5	VPS24
TRHDE	REG3A
SMAD5	BCAT1
SMAD5	PPIL4
SMAD5	SNRNP70
NFX1	ELAVL4
SMAD5	WWP1
SERPINC1	SERPINC1
SPG20	ZFYVE9
PTH1R	PTH
MEP1A	PTH
PTH2R	PTH
PCNA	CCND1
RB1	CCND1
SP1	CCND1
TAF1	CCND1
AR	CCND1
IFI27	CCND1
SDC2	SERPINC1
CDKN1B	CCND1
MYBL2	CCND1
PRKACA	CCND1
NCOA3	CCND1
NCOA1	CCND1
EP300	CCND1
CDK6	CCND1
AKAP8	CCND1
GSK3B	CCND1
KLK2	SERPINC1
CCNDBP1	CCND1
KAT2B	CCND1
RBX1	CCND1
THRA	CCND1
THRB	CCND1
HDAC3	CCND1
ORC4L	CCND1
CUL3	CCND1
DMTF1	CCND1
HERC5	CCND1
PLG	SERPINC1
MCM10	CCND1
NPDC1	CCND1
BMP4	ZFYVE9
PTHLH	PTH1R
SLC9A3R1	PTH1R
SLC9A3R2	PTH1R
KLK3	PTHLH
KPNB1	PTHLH
CLU	PON1
JUP	DSG3
ADRA1A	FLNC
F2	SERPINC1
CASP3	DSG3
TAP2	TAP1
PDIA3	TAP1
TAPBP	TAP1
TAPBP	TAP2
PRKCA	PAM
KALRN	PAM
RASSF9	PAM
UHMK1	PAM
PIK3R1	NUP85
VIM	NUP85
PRKACA	NUP85
DYNC1LI1	NUP85
PRKACA	PLIN1
PRPH2	PRPH
PEX10	PEX2
ABCD3	ABCD3
COL6A2	ABCD3
ABCD1	ABCD3
CA2	SLC9A1
PEX19	ABCD3
ABCD2	ABCD3
MAPK1	PPARA
RXRA	PPARA
NCOR2	PPARA
NCOR1	PPARA
DUT	PPARA
MAPK3	PPARA
DAP3	PPARA
NRIP1	PPARA
NCOA1	PPARA
EP300	PPARA
MED1	PPARA
PPARGC1A	PPARA
AKAP13	PPARA
GADD45B	PPARA
GADD45G	PPARA
MED24	PPARA
NR1H3	PPARA
YWHAB	SLC9A1
AIP	PPARA
NRBF2	PPARA
-	PPARA
MECR	PPARA
SCYL2	ZFYVE9
SLC2A4	ACTN4
SLC2A4	GAPDH
SLC2A4	ACOX1
YWHAZ	PDC
PRKACA	PDC
MAP4K4	SLC9A1
CAMK2A	PDC
GPC4	ACP5
GPLD1	ALPP
PIGK	ALPP
PIK3R1	PIK3R1
SLC2A4	PRKAR1A
PDGFRB	PIK3R1
PECAM1	PIK3R1
PFN1	PIK3R1
PTPN11	PIK3R1
-	SLC9A1
SLC2A4	RAB7A
TYK2	PIK3R1
CDKN2A	NCL
CD28	PIK3R1
CD7	PIK3R1
CD4	PIK3R1
GTF2H1	PIK3R1
HRAS	PIK3R1
FES	PIK3R1
SRC	PIK3R1
TESC	SLC9A1
ERBB3	PIK3R1
TGFBR1	PIK3R1
TUBG1	PIK3R1
SH3KBP1	PIK3R1
WAS	PIK3R1
ERAS	PIK3R1
CSF2RA	PIK3R1
ARAF	PIK3R1
SYN1	PIK3R1
RRAS2	PIK3R1
UBTF	CD3EAP
MST1R	PIK3R1
TEK	PIK3R1
TIE1	PIK3R1
SHB	PIK3R1
TYRO3	PIK3R1
SLC9A2	PIK3R1
SHC1	PIK3R1
PTK2	PIK3R1
IRS2	PIK3R1
INPP4A	PIK3R1
TAF1A	CD3EAP
GHR	PIK3R1
MAPK8	PIK3R1
PTK2B	PIK3R1
SLC2A4	CTSD
CRKL	PIK3R1
RAC1	PIK3R1
TUBA1B	PIK3R1
IL1RAP	PIK3R1
ADAM12	PIK3R1
ARHGAP1	PIK3R1
CAPN3	FLNC
CD3E	CD3EAP
PIK3CD	PIK3R1
PIK3CB	PIK3R1
BCAR1	PIK3R1
IRS4	PIK3R1
SOCS1	PIK3R1
CD2AP	PIK3R1
HGS	PIK3R1
GAB1	PIK3R1
TOM1L1	PIK3R1
TRAT1	PIK3R1
POLR1E	CD3EAP
YWHAG	PIK3R1
AGAP2	PIK3R1
VAV3	PIK3R1
GAB2	PIK3R1
PIK3AP1	PIK3R1
GAB3	PIK3R1
CD3E	PIK3R1
-	PIK3R1
PPM1A	PIK3R1
WBP11	PIK3R1
IFNW1	IFNAR1
SLC2A4	ARF3
SLC2A4	HK2
PDGFRB	PIK3CA
PRKCD	PIK3CA
HRAS	PIK3CA
SH3KBP1	PIK3CA
GNAQ	PIK3CA
IRS4	PIK3CA
SLC2A4	SERPINH1
PIK3R3	PIK3CA
IFNA2	IFNAR1
MRAS	PIK3CA
RASD2	PIK3CA
GABRB1	PIK3CA
PRKCA	PFKFB2
PRKAA2	PFKFB2
YWHAZ	PFKFB2
PRKACA	PFKFB2
PRKAA1	PFKFB2
SLC2A4	CFL1
DYNLL1	PFKP
IFNB1	IFNAR1
SLC2A4	STRN3
SLC2A4	MVP
PFKM	PFKL
SLC2A4	PDIA6
SLC2A4	UBA52
SLC2A4	-
SLC2A4	DLD
SLC2A4	BSG
APOA1	PDE1A
SLC2A4	HSP90AA1
PIK3R1	IFNAR1
SLC2A4	UBE2N
SLC2A4	KBTBD10
SLC2A4	ARFIP1
S100A1	PGM1
S100B	PGM1
SLC2A4	LEPRE1
SLC2A4	ACTN1
NAA38	PGD
SLC2A4	MAP1S
SLC2A4	FAR1
PTPN11	IFNAR1
SLC2A4	PSMD7
S100A1	PLN
PPP1R3A	PLN
PRKACA	PLN
SLN	PLN
SLC2A4	ESYT2
PLA2G2A	PLA2G1B
BGN	PLA2G1B
PLAA	PLA2G1B
SLC2A4	C1QTNF5
PTPN6	IFNAR1
SLC2A4	CCDC116
PLA2R1	PLA2G2A
PDGFRB	PLCG1
PECAM1	PLCG1
PDGFRA	PLCG1
FGFR2	PLCG1
ZAP70	PLCG1
GNB2L1	PLCG1
SOS1	PLCG1
CD28	PLCG1
TYK2	IFNAR1
ITK	PLCG1
GTF2H1	PLCG1
SRC	PLCG1
NTRK1	PLCG1
NTRK3	PLCG1
WAS	PLCG1
SYN1	PLCG1
SYK	PLCG1
MST1R	PLCG1
PITPNA	PLCG1
MAPK1	IFNAR1
SLC2A4	FKBP10
SHB	PLCG1
DDR1	PLCG1
PTK2	PLCG1
IRS2	PLCG1
PTPRJ	PLCG1
TUB	PLCG1
SOS2	PLCG1
DGKZ	PLCG1
LCP2	PLCG1
FURIN	FLNC
GNB2L1	IFNAR1
SH3BP2	PLCG1
LAT	PLCG1
PLD2	PLCG1
KHDRBS1	PLCG1
PKN2	PLCG1
PAK1	PLCG1
PICALM	PLCG1
DAB1	PLCG1
BAG3	PLCG1
GAB1	PLCG1
STAT2	IFNAR1
PRKD1	PLCG1
AGAP2	PLCG1
VAV3	PLCG1
SNAP91	PLCG1
GIT1	PLCG1
USO1	PLCG1
LAT2	PLCG1
TNK1	PLCG1
TRPM7	PLCG1
-	PLCG1
PRKACA	IFNAR1
SOCS7	PLCG1
TRPC3	PLCG1
SLC2A4	IDH2
PLG	ENO1
JUP	ZFYVE9
NIT1	ZFYVE9
ZBTB44	SMAD1
TTF2	SMAD1
PHKG1	PHKG1
CRKL	IFNAR1
CTRC	PHKG1
UBE2I	SNIP1
PHKG1	PHKG2
FAF1	SNIP1
PIAS2	SNIP1
HERC1	LAPTM5
TDG	SMAD4
TDG	SNIP1
PITX1	POU1F1
NR1I2	POU1F1
PRMT1	IFNAR1
NR1I3	POU1F1
ZMYM5	SNIP1
SETDB1	SNIP1
RNASE1	RNH1
PLG	SERPINB6
PROC	SERPINB6
F2	SERPINB6
PLAU	SERPINB6
F10	SERPINB6
MYOD1	SMAD4
CANX	IFNGR1
HIPK1	SNIP1
PECAM1	JUP
APC	JUP
PTPRF	JUP
CDH1	JUP
DSC3	JUP
PTPRJ	JUP
CTNND1	JUP
CDH5	JUP
PKD1	JUP
IFNGR2	IFNGR1
TCF7L2	JUP
PTPRK	JUP
PKP2	JUP
PTPN14	JUP
BTRC	JUP
AXIN1	JUP
SVEP1	SMAD9
PLG	PLG
SERPINE1	PLG
PLAT	PLG
IFNG	IFNGR1
PAPPA	PLG
PRNP	PLG
KLK3	PLG
MMP7	PLG
SPARC	PLG
CLEC3B	PLG
THBS1	PLG
PLAU	PLG
C7	PLG
JAK1	IFNGR1
F10	PLG
KNG1	PLG
SERPINF2	PLG
AMOT	PLG
PLG	PCOLCE
PLG	MEP1A
LAMA3	PLG
PLG	F2RL1
SERPINI1	PLG
CPB2	PLG
DEK	TFAP2A
SERPINB13	PLG
SERPING1	PLG
CHGA	PLG
NGF	PLG
TFPI2	PLG
RUVBL1	PLG
CDCP1	PLG
PRPF40A	SMAD4
PLAT	SERPINE1
F2	SERPINE1
INPPL1	FLNC
CASP1	TFAP2A
MMP3	SERPINE1
PLAU	SERPINE1
VTN	SERPINE1
LRP2	SERPINE1
LRP1B	SERPINE1
MAPK1	PLAT
SPARC	PLAT
CLEC3B	PLAT
PLAU	PLAT
F10	PLAT
YBX1	TFAP2A
LAMA3	PLAT
MAPK3	PLAT
SERPINA5	PLAT
PLAT	SERPINI1
SERPING1	PLAT
PRPF40A	SNRNP70
LRP1B	PLAT
CKAP4	PLAT
RB1	SERPINB2
PLAU	SERPINB2
RB1	TFAP2A
IRF3	SERPINB2
PLAU	PLAUR
VTN	PLAUR
KNG1	PLAUR
FAP	PLAUR
MMP12	PLAUR
LRP1B	PLAUR
ARR3	PTAFR
RGS4	PTAFR
PDGFRB	PDGFRB
TP53	TFAP2A
ITGB3	PDGFRB
PDGFRA	PDGFRB
EIF2AK2	PDGFRB
PTPN11	PDGFRB
PTPN1	PDGFRB
PDGFB	PDGFRB
NCK1	PDGFRB
SHC1	PDGFRB
PTK2	PDGFRB
PTPRJ	PDGFRB
CASP3	TFAP2A
COPB1	PDGFRB
SNX1	PDGFRB
BAG1	PDGFRB
GRB10	PDGFRB
GRB14	PDGFRB
COPA	PDGFRB
S1PR1	PDGFRB
NCK2	PDGFRB
SLC9A3R1	PDGFRB
PDAP1	PDGFRB
CASP6	TFAP2A
PTPN2	PDGFRB
SNX2	PDGFRB
SNX4	PDGFRB
PDGFD	PDGFRB
PDGFA	PDGFA
PDGFRA	PDGFA
SPARC	PDGFA
DUSP3	PDGFA
PDAP1	PDGFA
PECAM1	PECAM1
WWP1	TFAP2A
ITGB3	PECAM1
PTPN11	PECAM1
PTPN6	PECAM1
PRKCE	PECAM1
SRC	PECAM1
INPP5D	PECAM1
PRPF40A	BAT3
PROC	PF4
SRGN	PF4
THBD	PF4
WWP2	TFAP2A
CXCR3	PF4
LDLR	PF4
PIR	SMAD9
ITGB3	ITGB3
PDGFRA	ITGB3
CD36	ITGB3
TLN1	ITGB3
THBS1	ITGB3
SRC	ITGB3
TGM2	ITGB3
MAGI1	TFAP2A
ITGAV	ITGB3
P2RY2	ITGB3
EPS8	ITGB3
PTK2	ITGB3
PTK2B	ITGB3
DAB2	ITGB3
ILK	ITGB3
LRP5	SMAD9
DOK1	ITGB3
DAB1	ITGB3
EP300	TFAP2A
NUMB	ITGB3
PDPK1	ITGB3
ITGA2B	ITGB3
ITGB3BP	ITGB3
ANGPTL3	ITGB3
TENC1	ITGB3
PDGFRA	PDGFRA
PTPN11	PDGFRA
PDGFB	PDGFRA
ITGAV	PDGFRA
ACHE	ACHE
CITED2	TFAP2A
SHB	PDGFRA
CAV1	PDGFRA
GRB14	PDGFRA
CRKL	PDGFRA
SLC9A3R1	PDGFRA
SNX2	PDGFRA
SNX4	PDGFRA
PDGFC	PDGFRA
SNX6	PDGFRA
THBS1	CD36
LDLRAP1	TFAP2A
SRC	CD36
MATK	CD36
ITGA2B	CD36
MLL2	SMAD1
MLL2	SMAD9
-	SMAD9
SF3B1	SMAD1
GP1BA	GP5
YWHAZ	GP5
CITED4	TFAP2A
GP1BA	GP9
GP1BA	SELP
CD24	SELP
SELPLG	SELP
SELP	AP1M1
SNX17	SELP
SERPING1	SELP
VTN	PVR
DYNLT3	PVR
AP1M2	PVR
EPN2	TFAP2A
PVRL1	PVR
PVRL3	PVR
CD226	PVR
SF3B1	SMAD9
PARP1	PARP1
PCNA	PARP1
RXRA	PARP1
RPS3A	PARP1
TP53	PARP1
APOC1	APOA2
XRCC1	PARP1
SF3B1	SNIP1
POLA1	PARP1
PRKDC	PARP1
MYBL2	PARP1
CPXM2	SMAD9
ODZ3	SMAD4
EXPH5	SMAD9
BUB3	PARP1
APOD	APOA2
ZNF423	PARP1
WRN	PARP1
NCOA6	PARP1
APTX	PARP1
CDKN2A	RPS7
XRCC5	PARP1
PARP2	PARP1
SWAP70	PARP1
RBM14	PARP1
SFRS12	PARP1
APOF	APOA2
RFX1	SMAD4
RFX1	SMAD1
RFX1	SMAD9
RAB3B	PIGR
CCL5	PIGR
AP1M1	PIGR
LEMD3	SMAD9
PKD1	PKD2
DIAPH1	PKD2
CD2AP	PKD2
C4A	APOA2
TNNI3	PKD2
TRPC1	PKD2
HAX1	PKD2
SSBP1	POLG
CSNK1E	APC
PRKACA	APC
PPP2R5A	APC
KIFAP3	APC
SIAH1	APC
PLTP	APOA2
BUB1	APC
MAPRE1	APC
AXIN1	APC
RP1	APC
AXIN2	APC
ARHGEF4	APC
DLGAP1	APC
PRKCA	KCNE1
KCNQ1	KCNE1
APOA1BP	APOA2
KCNA4	KCNA2
PTPRA	KCNA2
KCNA2	ETV1
KCNAB1	KCNA2
KCNAB2	KCNA2
PTK2B	KCNA2
ZSCAN4	SMAD1
KCNA5	KCNA2
KCNA3	KCNA2
ZSCAN4	SMAD9
MAP2K4	FLNC
GPLD1	APOA4
E4F1	SMAD9
DLG2	KCNA4
DLGAP1	KCNA4
SNTG1	KCNA4
RBP4	TTR
LRP2	TTR
APOA1	TTR
PAPPA	PAPPA
PRG2	PAPPA
TNNI3	PAPPA
ATN1	SIAH2
KIAA0226	SMAD9
SECISBP2	SMAD9
SYN1	PFN2
ROCK1	PFN2
VASP	PFN2
DNM1	PFN2
FHOD1	PFN2
EVL	PFN2
ARNT	SMAD9
CALR	APOB
ATF7IP	SMAD4
DNM2	PFN1
ATF7IP	RRBP1
WASF1	PFN1
WASL	PFN1
RHOQ	PFN1
FMNL1	PFN1
XPO6	PFN1
ENAH	PFN1
APBB1IP	PFN1
CANX	APOB
WIPF2	PFN1
ATF7IP	PSG3
ATF7IP	KRT7
CLU	PRNP
L1CAM	PRNP
CAV1	PRNP
NCAM2	PRNP
DNM1	PRNP
APBB1	PRNP
PPIB	APOB
ADAM23	PRNP
STIP1	PRNP
SPARCL1	PRNP
P4HB	PRNP
CNTN1	PRNP
OPCML	PRNP
PVRL1	PRNP
LSAMP	PRNP
CLSTN1	PRNP
MOG	PRNP
HSPA5	APOB
ERI3	PRNP
RB1	PHB
RBL2	PHB
E2F1	PHB
TP53	PHB
SMARCA2	PHB
MAP3K10	PHB
NCOR1	PHB
HDAC1	PHB
SMARCA4	PHB
HSPA1A	APOB
SIN3A	PHB
ATF7IP	COL4A2
ZNF484	SMAD9
INS	INS
LRP2	INS
IGFBP7	INS
HLA-DQB1	INS
SYTL4	INS
HLA-DQA2	INS
TXNDC17	INS
HSP90AA1	APOB
PCNA	PCNA
RPA1	PCNA
PTMA	PCNA
XRCC1	PCNA
FEN1	PCNA
RFC2	PCNA
SUB1	PCNA
CDKN1C	PCNA
MSH3	PCNA
PRKDC	PCNA
LIPC	APOB
HDAC1	PCNA
